Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.6324E-1	9.4814E-1	3.3200E+2
-3.6289E-1	9.4790E-1	3.4000E+1
-3.6254E-1	9.4547E-1	5.3000E+1
-3.6219E-1	9.4450E-1	3.3600E+2
-3.6183E-1	9.4426E-1	4.7100E+2
-3.6160E-1	9.4231E-1	3.2800E+2
-3.6124E-1	9.4037E-1	-8.6000E+1
-3.6089E-1	9.3745E-1	5.3500E+2
-3.6054E-1	9.3794E-1	2.0800E+2
-3.6019E-1	9.3673E-1	4.2000E+1
-3.5995E-1	9.3551E-1	1.5900E+2
-3.5948E-1	9.3211E-1	1.8400E+2
-3.5924E-1	9.3260E-1	4.0300E+2
-3.5889E-1	9.2871E-1	7.4600E+2
-3.5854E-1	9.2895E-1	-1.0600E+2
-3.5819E-1	9.2822E-1	5.8000E+2
-3.5783E-1	9.2677E-1	4.5300E+2
-3.5760E-1	9.2531E-1	9.2000E+1
-3.5724E-1	9.2336E-1	5.1300E+2
-3.5689E-1	9.2312E-1	3.9900E+2
-3.5654E-1	9.2045E-1	4.3800E+2
-3.5619E-1	9.1948E-1	1.2900E+2
-3.5595E-1	9.1826E-1	5.9500E+2
-3.5560E-1	9.1680E-1	4.4900E+2
-3.5524E-1	9.1243E-1	4.6200E+2
-3.5489E-1	9.1146E-1	2.6900E+2
-3.5466E-1	9.1097E-1	-2.5800E+2
-3.5430E-1	9.0733E-1	-1.8000E+1
-3.5395E-1	9.0879E-1	4.6500E+2
-3.5360E-1	9.0490E-1	-1.9100E+2
-3.5324E-1	9.0320E-1	3.1800E+2
-3.5301E-1	9.0271E-1	4.8000E+2
-3.5254E-1	9.0101E-1	8.0700E+2
-3.5230E-1	9.0004E-1	1.8200E+2
-3.5195E-1	8.9858E-1	3.7400E+2
-3.5160E-1	8.9518E-1	3.7500E+2
-3.5124E-1	8.9251E-1	3.2000E+2
-3.5089E-1	8.9081E-1	5.7900E+2
-3.5066E-1	8.8960E-1	3.4000E+2
-3.5030E-1	8.8911E-1	6.4700E+2
-3.4995E-1	8.8644E-1	4.5000E+2
-3.4960E-1	8.8547E-1	5.1000E+2
-3.4924E-1	8.8304E-1	7.1500E+2
-3.4901E-1	8.8085E-1	2.1000E+1
-3.4866E-1	8.7964E-1	8.7300E+2
-3.4830E-1	8.7891E-1	-3.8000E+1
-3.4795E-1	8.7526E-1	5.1000E+2
-3.4760E-1	8.7259E-1	-2.2500E+2
-3.4736E-1	8.7283E-1	6.4700E+2
-3.4701E-1	8.6919E-1	6.2000E+1
-3.4666E-1	8.6798E-1	5.0100E+2
-3.4630E-1	8.6603E-1	8.1300E+2
-3.4607E-1	8.6312E-1	3.5800E+2
-3.4560E-1	8.6190E-1	2.3800E+2
-3.4536E-1	8.6142E-1	5.6800E+2
-3.4501E-1	8.5850E-1	2.3100E+2
-3.4465E-1	8.5534E-1	4.4500E+2
-3.4430E-1	8.5413E-1	6.7600E+2
-3.4395E-1	8.5000E-1	7.0000E+1
-3.4371E-1	8.4927E-1	1.0800E+3
-3.4336E-1	8.4708E-1	3.3400E+2
-3.4301E-1	8.4563E-1	8.8800E+2
-3.4265E-1	8.4441E-1	5.8200E+2
-3.4230E-1	8.4150E-1	6.6400E+2
-3.4207E-1	8.4004E-1	3.2200E+2
-3.4171E-1	8.3761E-1	1.6000E+2
-3.4136E-1	8.3518E-1	5.0900E+2
-3.4101E-1	8.3421E-1	1.0740E+3
-3.4065E-1	8.3129E-1	1.2600E+3
-3.4030E-1	8.3081E-1	4.8100E+2
-3.4007E-1	8.2571E-1	6.4200E+2
-3.3971E-1	8.2498E-1	5.3100E+2
-3.3936E-1	8.2206E-1	3.0700E+2
-3.3901E-1	8.2036E-1	5.8000E+2
-3.3865E-1	8.1745E-1	5.7600E+2
-3.3842E-1	8.1502E-1	6.9000E+2
-3.3807E-1	8.1356E-1	9.8800E+2
-3.3771E-1	8.1089E-1	7.1200E+2
-3.3736E-1	8.0870E-1	1.1610E+3
-3.3701E-1	8.0530E-1	5.9200E+2
-3.3677E-1	8.0676E-1	3.5700E+2
-3.3642E-1	8.0214E-1	4.1600E+2
