Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.2641E-1	9.1826E-1	-1.3420E+3
-2.2547E-1	9.2191E-1	-8.4700E+2
-2.2453E-1	9.2774E-1	-1.3790E+3
-2.2359E-1	9.3138E-1	-1.7120E+3
-2.2265E-1	9.3551E-1	-1.6590E+3
-2.2170E-1	9.4037E-1	-1.2700E+3
-2.2076E-1	9.4328E-1	-8.7300E+2
-2.1982E-1	9.4887E-1	-1.0850E+3
-2.1888E-1	9.5227E-1	-9.9200E+2
-2.1794E-1	9.5495E-1	-1.4240E+3
-2.1700E-1	9.6053E-1	-9.8500E+2
-2.1606E-1	9.6223E-1	-1.1280E+3
-2.1512E-1	9.6855E-1	-1.0360E+3
-2.1417E-1	9.7098E-1	-1.0810E+3
-2.1335E-1	9.7487E-1	-1.2060E+3
-2.1229E-1	9.7802E-1	-1.2240E+3
-2.1135E-1	9.8118E-1	-9.6600E+2
-2.1041E-1	9.8483E-1	-8.1600E+2
-2.0947E-1	9.8847E-1	-1.3120E+3
-2.0864E-1	9.9187E-1	-9.2600E+2
-2.0759E-1	9.9381E-1	-6.3500E+2
-2.0664E-1	9.9527E-1	-5.4500E+2
-2.0570E-1	9.9722E-1	-5.0600E+2
-2.0476E-1	1.0011E+0	-3.3800E+2
-2.0394E-1	1.0035E+0	-1.1030E+3
-2.0288E-1	1.0057E+0	-6.8200E+2
-2.0194E-1	1.0086E+0	-8.2300E+2
-2.0100E-1	1.0106E+0	-9.3900E+2
-2.0006E-1	1.0108E+0	-6.3100E+2
-1.9923E-1	1.0130E+0	-4.5300E+2
-1.9817E-1	1.0164E+0	-6.6300E+2
-1.9723E-1	1.0174E+0	-7.4700E+2
-1.9629E-1	1.0208E+0	-9.5600E+2
-1.9535E-1	1.0227E+0	-8.7600E+2
-1.9453E-1	1.0235E+0	-4.1600E+2
-1.9347E-1	1.0242E+0	-4.0800E+2
-1.9253E-1	1.0249E+0	-9.7400E+2
-1.9158E-1	1.0259E+0	-5.4600E+2
-1.9064E-1	1.0286E+0	-4.8000E+2
-1.8982E-1	1.0298E+0	-8.3300E+2
-1.8888E-1	1.0310E+0	-2.5300E+2
-1.8782E-1	1.0324E+0	-7.0200E+2
-1.8688E-1	1.0337E+0	-8.5800E+2
-1.8594E-1	1.0337E+0	-1.1650E+3
-1.8500E-1	1.0332E+0	-3.3900E+2
-1.8417E-1	1.0358E+0	-1.1380E+3
-1.8311E-1	1.0375E+0	-6.3400E+2
-1.8217E-1	1.0363E+0	-6.2700E+2
-1.8123E-1	1.0375E+0	-4.9300E+2
-1.8029E-1	1.0383E+0	-5.4000E+2
