Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.1171E-1	4.8025E-1	2.0900E+2
-3.1077E-1	4.7637E-1	1.2970E+3
-3.0971E-1	4.6981E-1	7.1000E+2
-3.0877E-1	4.6908E-1	5.9000E+2
-3.0783E-1	4.7418E-1	-6.9800E+2
-3.0689E-1	4.9094E-1	-2.2650E+3
-3.0595E-1	5.2763E-1	-3.2680E+3
-3.0500E-1	5.4633E-1	1.8580E+3
-3.0395E-1	5.0771E-1	3.5670E+3
-3.0300E-1	4.7928E-1	1.1340E+3
-3.0206E-1	4.7370E-1	3.6400E+2
-3.0112E-1	4.7710E-1	-6.5900E+2
-3.0018E-1	4.9459E-1	-2.4340E+3
-2.9900E-1	5.4633E-1	-5.5320E+3
-2.9806E-1	5.9127E-1	-6.7500E+2
-2.9712E-1	5.4512E-1	5.4120E+3
-2.9618E-1	4.9143E-1	3.2150E+3
-2.9524E-1	4.5961E-1	1.8440E+3
-2.9418E-1	4.4406E-1	5.4600E+2
-2.9324E-1	4.3531E-1	1.7500E+2
-2.9230E-1	4.2997E-1	1.6200E+2
-2.9136E-1	4.2535E-1	3.0400E+2
-2.9042E-1	4.2317E-1	9.7000E+1
-2.8936E-1	4.1952E-1	-4.9400E+2
-2.8842E-1	4.1904E-1	-1.7800E+2
-2.8747E-1	4.1928E-1	-7.1400E+2
-2.8653E-1	4.2049E-1	-8.2500E+2
-2.8559E-1	4.3021E-1	-1.8870E+3
-2.8453E-1	4.3628E-1	-4.9100E+2
-2.8359E-1	4.3021E-1	5.7000E+2
-2.8253E-1	4.2049E-1	3.2200E+2
-2.8159E-1	4.1709E-1	-2.3800E+2
-2.8065E-1	4.1806E-1	-4.3600E+2
-2.7971E-1	4.1855E-1	-1.0060E+3
-2.7865E-1	4.2025E-1	-6.9100E+2
-2.7771E-1	4.2219E-1	-1.3370E+3
-2.7677E-1	4.2365E-1	-6.5900E+2
-2.7583E-1	4.2535E-1	-1.1430E+3
-2.7488E-1	4.2705E-1	-2.2400E+2
-2.7383E-1	4.2924E-1	-5.0000E+2
-2.7288E-1	4.3191E-1	-1.0550E+3
-2.7194E-1	4.3434E-1	-6.5000E+2
-2.7100E-1	4.3701E-1	-7.6600E+2
-2.7006E-1	4.4041E-1	-8.0700E+2
-2.6900E-1	4.4187E-1	-5.9400E+2
-2.6806E-1	4.4624E-1	-5.1400E+2
-2.6712E-1	4.5062E-1	-5.4100E+2
-2.6606E-1	4.5280E-1	-1.2190E+3
-2.6512E-1	4.5790E-1	-7.0000E+2
-2.6406E-1	4.6179E-1	-1.6910E+3
-2.6312E-1	4.6592E-1	-1.3340E+3
-2.6218E-1	4.7054E-1	-1.0510E+3
-2.6124E-1	4.7491E-1	-1.2490E+3
-2.6030E-1	4.7880E-1	-1.2940E+3
-2.5924E-1	4.8390E-1	-1.0560E+3
-2.5830E-1	4.8827E-1	-1.7960E+3
-2.5735E-1	4.9264E-1	-9.3000E+2
-2.5641E-1	4.9847E-1	-8.6000E+2
-2.5547E-1	5.0430E-1	-1.2590E+3
-2.5453E-1	5.0941E-1	-9.8700E+2
-2.5347E-1	5.1524E-1	-8.7600E+2
-2.5253E-1	5.2180E-1	-7.3500E+2
-2.5159E-1	5.2738E-1	-1.4120E+3
